txhash,blockNumber,timeStamp,from,to,gas_value,gas_used,contract_add,token_id,token_name,token_symbol,token_decimal,origin_acc
0xb624cd08f519411a11f5821b67da6cd1eee2b156921a3aa113ec516be6245465,24962650,1644911610,0x0000000000000000000000000000000000000000,0xec6a4f7adbfed2b865984ed47d87fa731f724b56,3.7e-08,6248186,0xd3ed75b60b5edbf4110e778d3053fedb3e2f2a30,8998,Samsung Turning Red Hearts Green,DCL-SMSNGTRNNGRDHRTSGRN,0,0xec6a4f7adbfed2b865984ed47d87fa731f724b56
0xf84043c513d4c80bfab41ac504e3b08ab376c6c5e006ed16735f018615c539ac,24963970,1644914553,0x0000000000000000000000000000000000000000,0xec6a4f7adbfed2b865984ed47d87fa731f724b56,3.6e-08,6248786,0xd3ed75b60b5edbf4110e778d3053fedb3e2f2a30,210624583337114373395836055367340864637790190801098222508621963975,Samsung Turning Red Hearts Green,DCL-SMSNGTRNNGRDHRTSGRN,0,0xec6a4f7adbfed2b865984ed47d87fa731f724b56
0x1cba033943aca922614cff4f3b61f7f4ce0dcc89992d696d19a47f471c25f3b2,26276256,1648059010,0x0000000000000000000000000000000000000000,0xec6a4f7adbfed2b865984ed47d87fa731f724b56,1e-07,154882,0xa9eddd3d725d03bd4c80186ef313e467678b7e96,5556,Samsung 837X You Make It Collection,837xYMIC,0,0xec6a4f7adbfed2b865984ed47d87fa731f724b56
0x729768940de67d26315d261e974d6cbc5cc1753a014d88b3a6ed4021f8e3d57b,26339920,1648199841,0x0000000000000000000000000000000000000000,0xec6a4f7adbfed2b865984ed47d87fa731f724b56,3.48e-08,7295447,0x875146d1d26e91c80f25f5966a84b098d3db1fc8,962,Fashionista - MVFW 2022,DCL-FSHNST-MVFW2022,0,0xec6a4f7adbfed2b865984ed47d87fa731f724b56
0x98d3dbc4252e9c9636e8bb0631dfc6e3b6dae7ed07cac1fe9da7f28000c99df9,26829202,1649283264,0x0000000000000000000000000000000000000000,0xec6a4f7adbfed2b865984ed47d87fa731f724b56,5e-08,2452383,0x0675c621fedb3104d80df43bd3e5a137c2dda46a,315936875005671560093754083051011296956685286201647333762932933950,The Next-Gen Integra Wearables,DCL-THNXT-GNINTGRWRBLS,0,0xec6a4f7adbfed2b865984ed47d87fa731f724b56
0xf9e522e755bf0fe4a6f5793569eb78c111b8b45a1e1dc481bbd402316f8a9d35,29586437,1655272417,0x0000000000000000000000000000000000000000,0xec6a4f7adbfed2b865984ed47d87fa731f724b56,4.1095591057e-08,2317725,0x03388973f1b6b34067ea955d72ca22b9d606252e,1333,Angel's Envy,DCL-ANGL'SENVY,0,0xec6a4f7adbfed2b865984ed47d87fa731f724b56
0xe1fe22acfc033a025d65b86e6355a446614c42c1196f6fd7b8e3aed1cfc28bd2,30189835,1656624104,0x0000000000000000000000000000000000000000,0xec6a4f7adbfed2b865984ed47d87fa731f724b56,7e-07,176933,0xd22a104efd90b423d7753bb95eb11e0bead36003,15724,Samsung 837X Nouns,837XNOUN,0,0xec6a4f7adbfed2b865984ed47d87fa731f724b56
0x2baa3a1022c32e465531dfb80b200e53274416fd182d311edf4bf718da34cb55,32459292,1661804695,0x0000000000000000000000000000000000000000,0xec6a4f7adbfed2b865984ed47d87fa731f724b56,3.4650003757e-08,2505395,0x3fb215f9fedc8cb4baeb89f54273fb54716b073a,210624583337114373395836055367340864637790190801098222508621957759,Grey Goose® US Open Wearables,DCL-GRYGS®USOPNWRBLS,0,0xec6a4f7adbfed2b865984ed47d87fa731f724b56
0xf250a148238909a9f46a45a4e8bfd4302d0a8bdec62f6fbe69fe80a8a5eba579,32612002,1662153212,0x0000000000000000000000000000000000000000,0xec6a4f7adbfed2b865984ed47d87fa731f724b56,4.2100828942e-08,3306562,0x3fb215f9fedc8cb4baeb89f54273fb54716b073a,3440,Grey Goose® US Open Wearables,DCL-GRYGS®USOPNWRBLS,0,0xec6a4f7adbfed2b865984ed47d87fa731f724b56
0x3ece47b5e5f49456bc8cdfac3560b06d750d278da0a7f633f53aa5accccaae25,34872608,1666894353,0x0000000000000000000000000000000000000000,0xec6a4f7adbfed2b865984ed47d87fa731f724b56,9.53e-08,7110630,0x9bd2a378c75c0a323d95335e1a250c00fa9ec1aa,3774,Finnish Metagallery,DCL-FNNSHMTGLLRY,0,0xec6a4f7adbfed2b865984ed47d87fa731f724b56
